language,latitude,longitude
kws,36.0,-117.5
kyl,19.0,97.5
kay,-17.05,139.5
ked,-8.25,123.75
kef,7.25,36.25
ker,9.83333333333,15.0833333333
ket,64.0,87.0
kew,-6.5,143.833333333
kha,47.0,105.0
kty,65.0,65.0
khr,22.5,84.3333333333
khs,25.5,92.0
khm,12.5,105.0
kmu,21.0,102.0
klv,-8.5,151.083333333
kio,37.0,-99.0
kgz,42.0,75.0
krb,1.33333333333,173.0
kss,8.5,-10.25
kiw,-8.0,143.5
klm,42.5,-121.5
kla,4.75,-8.75
koa,34.8333333333,-85.1666666667
kob,-5.16666666667,144.333333333
koh,6.0,8.11666666667
koi,-9.5,147.333333333
kzy,65.0,55.0
kom,8.75,33.75
kkn,15.25,74.0
kgi,12.5,-13.25
kor,37.5,128.0
kfe,14.25,-0.916666666667
kry,61.0,167.0
kot,11.5,77.1666666667
ktk,11.3333333333,15.3333333333
koy,17.5,81.3333333333
kch,17.0,-3.0
kse,16.0,0.0
kpa,7.58333333333,10.1666666667
kpe,7.0,-10.0
kro,10.5,30.0
kya,-16.0,145.0
kul,6.75,37.0833333333
kun,8.0,-77.3333333333
knm,14.5,37.0
kmp,-8.0,146.833333333
krd,36.0,44.0
kur,22.8333333333,85.5
kut,49.5,-116.0
kwa,-8.95,161.0
kwk,51.0,-127.0
kwo,-4.16666666667,142.75
lad,34.0,78.0
lah,20.0,98.1666666667
lak,42.1666666667,47.1666666667
lkt,43.8333333333,-101.833333333
lkk,24.0833333333,110.166666667
lam,9.0,14.5
lan,2.16666666667,33.0
lat,57.0,24.0
lav,-9.08333333333,159.2
llm,7.33333333333,0.5
len,-19.45,169.25
lep,27.1666666667,88.5
lez,41.6666666667,47.8333333333
lit,55.0,24.0
lua,9.75,17.75
lug,3.08333333333,30.9166666667
lui,33.3333333333,-117.166666667
luo,-0.5,34.75
lus,48.0,-122.0
kkv,-5.58333333333,149.666666667
luv,-12.0,22.0
lu,22.0,100.666666667
mya,-1.25,130.916666667
maa,-3.0,36.0
mab,13.75,20.8333333333
mne,40.0,-120.666666667
mal,-20.0,47.0
mlk,-13.4166666667,130.416666667
mla,6.75,11.5
mnc,49.5,127.5
mnd,34.0,110.0
myi,-14.6666666667,133.5
mgg,36.0,102.0
mao,-40.0,176.0
map,-38.0,-72.0
mrn,7.83333333333,124.25
mku,-13.6666666667,130.0
mrg,11.0,13.0
mme,57.0,48.0
mar,33.1666666667,-113.166666667
mrd,-7.83333333333,140.166666667
mrt,-20.8333333333,116.5
mau,-11.9166666667,133.5
max,-18.0,-40.0
may,-1.33333333333,132.5
maz,19.4166666667,-99.9166666667
mzc,17.75,-96.9166666667
mba,1.0,25.0
mbb,-17.1666666667,145.0
mbm,7.75,13.1666666667
mei,24.75,94.0
mie,25.0,111.0
hok,25.0,118.0
mss,37.5,-120.0
mtp,17.25,-96.0
mxc,17.05,-97.5833333333
mxm,17.0,-97.5833333333
mog,35.0,62.0
mor,-2.95,135.75
mro,11.0,30.1666666667
mov,-13.8333333333,-65.6666666667
mui,-1.0,-72.5
mum,9.0,11.6666666667
mun,23.0,84.6666666667
mrl,6.5,33.5
mpa,-14.6666666667,129.666666667
nhn,20.0,-98.25
nht,19.6666666667,-99.0
kho,-25.5,18.0
nmb,-14.0,-59.5
nai,49.5,137.0
nnc,8.05,93.5
NaN,0.25,35.0
nar,15.0833333333,37.5833333333
nas,-6.33333333333,155.583333333
nbk,-10.7833333333,165.866666667
nav,36.1666666667,-108.0
nax,27.5,100.0
ndt,14.9166666667,-16.9166666667
ndy,4.5,-54.5
ntu,70.0,76.0
nap,38.0,47.0
nep,28.0,85.0
new,27.6666666667,85.5
nez,46.0,-116.0
nga,71.0,93.0
nti,1.33333333333,30.25
ngz,12.0833333333,10.9166666667
nim,-2.5,140.166666667
chu,-23.5,-60.5
niv,53.3333333333,142.0
nko,-0.916666666667,29.8333333333
nob,21.0,31.0
non,6.41666666667,10.5833333333
nor,61.0,8.0
nun,21.9166666667,106.416666667
nug,-13.75,135.666666667
nuu,49.6666666667,-126.666666667
nkt,15.6666666667,101.666666667
nyg,3.41666666667,33.5833333333
nyi,12.1666666667,29.3333333333
nis,27.5,93.5
ood,32.0,-112.0
oca,-2.75,-71.75
ogb,4.66666666667,6.25
oji,46.0,-80.0
ond,43.0,-75.6666666667
orm,32.5,69.75
orh,9.0,42.0
otm,20.1666666667,-99.1666666667
pms,-16.5,168.25
pac,16.4166666667,107.083333333
pai,22.5,120.833333333
pnr,6.5,-66.0
puk,23.25,99.5
psh,33.0,67.0
psm,45.0,-67.0
pau,-6.0,-64.0
paw,-7.0,145.083333333
pec,15.0,-85.5
prs,32.0,54.0
phl,15.0,99.0
prh,-7.0,-62.0
pit,-26.0,130.0
poa,-20.6666666667,164.833333333
poh,6.88333333333,158.25
pol,52.0,20.0
pso,39.0,-122.5
pur,19.5,-101.666666667
pae,2.66666666667,-76.0
bng,-4.58333333333,152.0
qaw,-49.0,-75.0
qco,-17.5,-66.0
qui,47.9166666667,-124.25
ram,11.75,-83.75
rap,-27.1166666667,-109.366666667
res,-2.41666666667,-71.5
rom,46.0,25.0
rsc,46.75,9.5
ror,-8.75,146.583333333
rtk,-6.0,155.166666667
ruk,22.8333333333,120.833333333
rus,56.0,38.0
rut,41.5,47.4166666667
sab,3.66666666667,115.666666667
scs,64.6666666667,16.75
sdw,-5.0,35.0
san,5.0,18.0
snm,4.5,-64.6666666667
svs,-9.13333333333,159.8
seb,1.33333333333,34.5833333333
sed,14.8333333333,108.0
slp,-6.16666666667,147.166666667
sel,-53.0,-70.0
skp,65.0,82.0
sml,3.0,103.0
snd,9.5,-6.25
snc,42.5,-77.5
snt,-2.58333333333,140.583333333
sha,22.0,98.0
shs,41.8333333333,-122.666666667
shk,-7.5,-75.0
shi,3.5,-62.8333333333
shu,52.0,-120.0
sdh,26.0,69.0
snh,7.0,80.5
sin,0.333333333333,-76.25
srn,-15.5833333333,-64.0
sla,67.0,-125.0
som,3.0,45.0
soq,12.5,54.0
sor,20.0,84.3333333333
spa,40.0,-4.0
squ,49.6666666667,-123.166666667
sre,11.5,108.0
sue,-7.75,147.55
sui,26.0,107.5
sup,11.5,-5.58333333333
swa,-6.5,39.0
sba,6.0,-70.0
tab,0.0,127.5
tac,-13.5,-68.0
tag,15.0,121.0
tma,14.5,22.0
tam,27.5,85.666666666667
tmp,10.4166666667,-0.583333333333
tok,9.0,10.0833333333
tsg,6.0,121.0
teh,-48.0,-68.0
tks,-2.33333333333,14.5
tel,16.0,79.0
tmn,11.9166666667,29.4166666667
tne,8.66666666667,-13.0833333333
ter,11.0,11.8333333333
ttn,-9.0,126.0
tha,16.0,101.0
tib,30.0,91.0
tic,-4.0,-70.5
tgk,-2.71666666667,150.8
tgr,16.5,38.5
try,6.75,124.166666667
twn,36.5,-105.5
tiw,-11.5,131.0
tlp,17.0833333333,-99.0
tli,59.0,-135.0
toa,-8.33333333333,146.25
tol,14.6666666667,-87.0
ton,30.25,-96.75
dts,14.4166666667,-3.25
tpa,20.3333333333,-97.3333333333
tru,-11.9166666667,-53.5833333333
tsi,52.5,-129.0
tso,23.5,120.75
ttu,42.5,45.5
tug,23.0,6.0
tuk,-5.5,123.5
tul,12.75,75.3333333333
tun,32.6666666667,-91.0
tur,39.0,35.0
tuv,52.0,95.0
tza,16.4166666667,-92.5
umb,-12.5,15.0
una,-4.66666666667,140.0
ung,-16.3333333333,126.0
urk,-2.33333333333,-46.5
usa,-4.83333333333,145.166666667
uzn,40.6666666667,66.5
vie,10.5,106.5
wah,-5.83333333333,144.716666667
bno,0.333333333333,-70.25
wam,-18.6666666667,135.75
wnt,-6.16666666667,146.5
wps,2.66666666667,-60.0
wap,38.5,-122.5
wra,9.33333333333,-61.6666666667
wry,-13.1666666667,131.25
wrd,-15.5,131.0
war,-11.3333333333,-65.0
wrs,-3.16666666667,141.0
wma,0.5,127.583333333
wdo,-30.5,132.0
wic,33.3333333333,-97.3333333333
wch,-22.5,-62.5833333333
wmu,-13.9166666667,141.75
win,41.0,-122.5
wiy,40.8333333333,-124.166666667
woi,-8.25,124.833333333
wlf,15.25,-16.0
wuc,31.6666666667,119.916666667
ygr,-6.33333333333,145.416666667
yag,-3.5,-72.0
ykt,62.0,130.0
yan,40.5,-122.0
yny,-16.4166666667,137.166666667
yap,9.58333333333,138.166666667
yaq,27.5,-110.25
yar,-9.5,148.5
yaw,-1.75,136.25
yay,22.4166666667,104.75
yel,-11.3666666667,154.166666667
yes,-4.16666666667,142.583333333
yey,-20.0,23.5
yid,-17.0,145.75
yim,-4.66666666667,143.55
yor,8.0,4.33333333333
yct,20.0,-89.0
yuc,35.75,-86.75
ycn,-0.75,-71.0
yko,65.75,150.833333333
ytu,69.0,155.0
yul,8.5,25.25
yus,65.0,-173.0
yur,41.3333333333,-124.0
zan,4.0,26.0
zqc,17.0,-93.25
zul,-30.0,30.0
zun,35.0833333333,-108.833333333
mak,48.3333333333,-124.666666667
ngi,-31.75,145.5
tas,31.0,-5.0
wao,-1.0,-76.5
apk,12.1666666667,92.8333333333
abz,44.0,42.0
ady,45.2333333333,40.5833333333
agu,15.4166666667,-91.3333333333
agr,-5.0,-78.0
akb,11.6666666667,92.5
akc,13.5,93.0
akk,12.75,92.75
axv,42.3333333333,46.3333333333
ale,54.0,-166.0
aso,51.0,87.0
aln,-3.0,128.333333333
alu,61.0,165.0
amn,-3.58333333333,141.25
amr,34.0,-6.0
aho,40.0,-103.0
ats,40.75,-121.0
bgv,42.5833333333,46.1666666667
blc,28.0,62.0
bnj,-28.75,153.0
bao,35.75,102.833333333333
brs,-0.166666666667,-70.6666666667
bth,18.0,56.0
bez,42.0833333333,46.1666666667
bla,50.0,-112.666666667
bor,-2.16666666667,-72.3333333333
bdk,41.1666666667,48.4166666667
ghr,32.5,77.0
but,52.0,108.0
crj,1.0,-73.0
cas,-8.5,-75.5
cav,-13.3333333333,-66.5
chh,8.112935,37.93267
chm,42.55,46.05
cht,16.0833333333,-97.1666666667
chc,43.25,45.8333333333
ckh,-8.33333333333,159.666666667
cmk,48.0833333333,-122.916666667
cmh,34.3333333333,-115.166666667
chi,41.0,-123.0
ccm,17.5833333333,-96.4166666667
csc,17.75,-96.6666666667
cct,32.25,-88.5
cmy,18.1666666667,-92.5833333333
chr,10.75,107.5
cly,54.3333333333,89.6666666667
cla,48.0833333333,-123.75
cor,22.1666666667,-104.833333333
cri,45.0,34.0833333333
cui,6.5,-70.0
dol,71.25,98.0
eip,-4.33333333333,140.083333333
emb,6.83333333333,-77.1666666667
ene,67.5,86.5
ena,-5.5,143.666666667
ese,-11.0,-66.0
ess,36.25,-121.75
ets,7.25,6.5
frd,-6.75,131.5
fut,-19.5333333333,170.216666667
gag,46.3333333333,28.6666666667
gll,2.41666666667,128.333333333
gap,-9.75,149.833333333
grf,15.6666666667,-88.0
gav,-10.6666666667,-62.0
god,42.6666666667,46.0833333333
guq,1.0,-72.0833333333
gto,-17.0,-58.0
guj,23.0,72.0
hal,-5.25,154.666666667
hrs,20.0,56.5
hav,35.75,-112.5
heb,31.5,34.8333333333
hia,0.833333333333,-71.0
hid,47.0,-102.5
hnk,42.1666666667,46.0
hlp,35.5,-113.75
hmi,-0.333333333333,-74.0
hpd,0.166666666667,-69.25
iql,62.0,-73.0
iri,53.0,-8.0
ixi,15.5,-91.0
jbt,-12.25,-62.25
jib,17.5,55.0
jmo,6.0,30.0
jur,47.0,130.0
jrn,-5.0,-54.5
kmk,44.0,83.0
kiq,42.4166666667,78.3333333333
krc,43.5,42.0
krm,54.6666666667,24.9166666667
jva,-10.0,-50.3333333333
kkp,43.0,60.0
krt,42.5833333333,46.3333333333
ksh,38.6666666667,-123.333333333
kaz,50.0,70.0
krq,62.25,175.0
khk,53.0,90.0
khg,27.5,86.6666666667
khi,41.1666666667,48.0833333333
khv,42.25,46.1666666667
kfy,47.75,124.416666667
ksr,-8.08333333333,127.116666667
kit,31.8333333333,-96.5
koo,-5.5,134.5
krh,-8.0,-48.0
kym,45.0,34.25
krz,41.0833333333,48.0
ksi,21.0833333333,104.0
kuq,43.0,47.3333333333
kuo,-3.05,151.5
kwz,-12.5833333333,-60.6666666667
kat,-6.5,147.75
lha,21.5833333333,103.916666667
lrk,-3.75,127.916666667
lil,50.75,-122.0
lim,27.1666666667,87.75
ara,5.5,-55.1666666667
lon,-2.06666666667,147.333333333
lum,48.7,-122.666666667
mdr,-7.0,113.5
mlt,35.9166666667,14.4166666667
mam,15.0,-91.8333333333
mma,31.0,48.5
mns,62.0,62.0
meh,17.0,51.5
mid,15.0833333333,26.25
mcs,38.0,-120.333333333
mwn,38.3333333333,-120.666666667
mxt,16.9166666667,-99.1666666667
mos,-14.75,-67.8333333333
muo,20.5,105.083333333
mkw,0.416666666667,-69.8333333333
nab,-6.41666666667,147.0
nam,-3.83333333333,141.75
nnk,-5.78333333333,146.45
neg,53.0,139.0
naa,37.0,43.0
nev,31.0,-112.5
nog,44.0,46.0
nok,47.5,47.25
nyk,32.0,78.5
oks,-5.16666666667,142.166666667
olo,-3.41666666667,142.0
ong,10.75,92.4166666667
orc,50.3333333333,137.5
ork,49.5,143.5
oro,-8.83333333333,148.25
orl,-7.83333333333,145.333333333
osa,37.0,-94.0
oss,43.0,44.0
pno,42.0,-118.0
put,37.8333333333,-113.333333333
pat,-6.91666666667,146.583333333
ptt,32.75,76.75
pip,13.8333333333,-89.5833333333
qec,-1.0,-79.0
qim,0.333333333333,-78.0
rwa,-5.83333333333,146.0
sch,48.5833333333,-123.416666667
sae,17.4166666667,104.75
slr,35.0,103.0
sss,48.5833333333,-122.583333333
sta,31.5,107.5
syg,38.75,99.75
shw,40.0,-83.0
shr,53.0,88.0
swr,43.4166666667,-108.833333333
sod,8.5,38.5
sol,48.0,120.0
sgs,48.45,-123.333333333
soo,48.3333333333,-123.75
spi,32.25,78.0
sti,11.8333333333,106.75
sul,-5.08333333333,151.916666667
tbr,1.5,127.25
tce,27.5,-107.5
tvo,56.0,49.5
ttb,55.3333333333,78.3333333333
tlb,47.4166666667,45.6666666667
tec,15.4166666667,-92.0833333333
tmr,5.0,101.5
tps,23.0,-104.5
tew,35.8333333333,-110.416666667
thd,24.4166666667,93.9166666667
tid,0.75,127.5
til,45.3333333333,-123.75
tni,32.3333333333,77.1666666667
tnd,42.3666666667,46.25
tin,-21.6666666667,165.75
tod,32.4166666667,77.25
tof,53.75,98.0
tsz,42.25,45.75
tex,37.0,59.0
twx,36.6666666667,56.0
tkm,40.0,58.0
tbb,36.0,-118.333333333
uby,43.6666666667,39.6666666667
udi,41.0,48.0
udh,47.6666666667,136.25
ulc,52.25,140.333333333
umu,1.0,-72.0
urm,47.1166666667,37.55
ute,39.0,-109.0
uyg,40.0,80.0
uzb,39.0,66.0
vai,6.91666666667,-11.25
wrm,-1.66666666667,137.583333333
was,39.25,-120.0
wik,36.4166666667,-119.083333333
wnb,43.5,-88.5
xav,-15.0,-52.5
ymd,-7.5,131.5
ynm,2.33333333333,-63.0
yug,61.0,90.0
yki,39.6666666667,-123.5
ykp,10.1666666667,-72.75
ypk,59.5,-160.0
ysi,64.5,-174.0
yrc,-16.5833333333,-65.25
yta,46.3333333333,48.5
zno,-28.0,31.0
zso,-31.0,30.0
aka,2.66666666667,16.25
avt,6.83333333333,0.416666666667
bfi,5.0,11.1666666667
blz,12.25,-15.3333333333
ban,10.4166666667,13.5833333333
ble,7.0,-5.0
bsr,12.6666666667,-13.0
bfd,11.4166666667,-15.1666666667
buy,10.5,-1.25
ctm,29.6666666667,-91.0
dga,10.5,-2.66666666667
day,8.75,17.8333333333
ebi,8.16666666667,7.0
ega,5.5,-5.5
ora,7.08333333333,5.91666666667
fus,15.0,-14.0
gad,8.66666666667,7.41666666667
gbk,6.0,15.0
gir,10.25,19.4166666667
grm,12.25,1.0
hay,27.25,86.0
ila,-15.5833333333,26.5
kan,4.75,7.41666666667
kem,12.6666666667,37.4166666667
kis,8.83333333333,-10.1666666667
kon,-5.0,15.0
krw,-5.25,140.0
ksp,9.91666666667,15.9166666667
kwb,-2.25,138.5
laa,10.0,17.6666666667
lok,9.33333333333,-12.0833333333
mdz,8.75,8.25
mdk,13.0,-15.6666666667
mby,8.25,17.5
mdo,4.5,15.5
moo,12.8333333333,-1.25
mul,25.0,108.0
mnu,19.0,110.0
ntj,-26.0,126.5
oku,6.25,10.5
pod,11.0,14.0833333333
pme,39.0,-122.666666667
zqs,18.3333333333,-95.1666666667
tbl,-2.45,140.416666667
trb,9.33333333333,-82.6666666667
tik,5.83333333333,11.6666666667
tmk,9.5,17.3333333333
kgl,-6.0,144.0
wmn,6.66666666667,2.5
xas,14.25,-10.5
yem,5.41666666667,10.0833333333
ace,5.5,95.5
acg,4.41666666667,-72.25
akl,11.5833333333,122.333333333
atq,57.0,-157.0
aly,-22.5,135.0
agt,-12.3333333333,141.833333333
ahs,20.0,-10.0
abe,33.9166666667,35.5
ael,32.0,22.0
arg,26.0,49.0
arh,26.0,38.0
arl,34.0,36.0
arv,30.5,34.75
apa,32.0,35.25
asy,34.0,38.0
atb,-2.75,119.25
aro,-10.25,161.333333333
awe,-24.0,132.5
au,-3.58333333333,142.083333333
awd,27.5,81.5
awt,-3.58333333333,142.0
bdm,-27.6666666667,118.0
blk,-0.833333333333,123.25
bal,-8.33333333333,115.25
bbm,-3.08333333333,119.083333333
bna,-7.0,-65.0
bwa,-29.0833333333,152.583333333
bgg,-1.41666666667,123.166666667
bnl,-32.0,137.0
bnt,1.41666666667,124.75
bae,1.0,-67.0
bqi,43.0,-1.66666666667
bqb,43.0,-3.83333333333
bqg,43.3333333333,-3.0
bqh,42.5,-3.0
bql,43.0,-2.5
bqn,43.3333333333,-2.5
bqo,42.5,-3.5
bqr,43.0,-2.0
bqs,42.5,-2.0
bso,43.5,-1.5
bqz,42.0,-3.0
bho,26.0,84.0
bik,-1.0,136.0
bkl,13.3333333333,123.5
bim,-8.5,118.5
bbw,-12.5,133.75
bug,-4.0,120.0
bui,1.0,128.5
buu,-3.5,126.5
cpa,-10.6666666667,-74.25
cap,-7.0,-74.0
cyg,42.75,-76.75
ceb,10.0,124.0
cya,16.25,-97.25
cpn,27.6666666667,84.75
crn,50.3333333333,-5.0
crk,34.0,-85.0
cup,33.1666666667,-116.5
cze,50.0,15.0
daa,-1.0,119.583333333
dak,45.0,-93.5
dsh,56.0,10.0
dri,35.0,66.0
des,0.833333333333,-69.8333333333
dhw,-34.5,150.5
dhu,-35.6666666667,150.0
djr,-18.75,128.0
dji,-17.75,134.0
dob,-6.25,134.666666667
dou,-3.33333333333,138.166666667
dut,52.5,6.0
emc,5.0,-76.0
eno,-5.41666666667,102.25
est,59.0,26.0
far,62.0,-7.0
for,-6.75,145.5
glp,-12.6666666667,136.75
gae,57.0,-4.0
gay,4.5,97.5
gid,-28.4166666667,152.416666667
gor,-4.5,36.5
gug,-30.0,134.0
guu,-15.0,144.833333333
hno,54.0,-132.5
hln,14.5,107.5
hnn,12.3333333333,121.25
hmu,-2.41666666667,-71.0
ice,65.0,-17.0
iga,1.0,-77.0
irm,52.5,-9.0
ita,43.0,12.0
jum,-7.5,-64.0
kli,-1.16666666667,120.0
kaw,-23.0,-55.0
klp,44.5,-123.0
kam,-9.83333333333,120.166666667
kra,-2.83333333333,151.116666667
krl,64.0,32.0
kaj,-3.41666666667,140.083333333
kei,-5.83333333333,132.916666667
kap,-7.41666666667,147.083333333
ktn,-4.5,140.5
kop,59.5,54.5
kjo,-5.46666666667,120.333333333
kuz,7.75,125.0
kjn,-16.5,142.5
kuu,-12.5833333333,143.083333333
lmh,-8.25,122.916666667
lmp,-5.0,105.0
lla,-14.8333333333,144.5
lar,-12.6666666667,130.833333333
lje,-0.5,120.0
let,-8.2,127.666666667
liv,56.8333333333,24.0
myn,-2.0,115.0
mcd,41.6666666667,21.75
mac,4.0,-60.0
mdm,-34.5,143.5
mae,-16.0,167.25
mrs,-3.5,134.0
mai,26.0,86.0
mks,-5.41666666667,119.583333333
mlc,2.2,102.25
mly,3.0,102.0
mym,10.0,76.5
mms,-3.08333333333,119.666666667
mnm,-4.0,145.0
mng,-8.5,120.333333333
mnj,-22.6666666667,125.083333333
mnx,54.1666666667,-4.5
mny,-27.0,144.5
mah,57.0,58.0
myy,-20.0,141.0
meb,-6.5,107.0
men,45.5,-88.3333333333
mnt,-1.5,99.0
mta,1.25,111.0
mea,-1.16666666667,133.5
min,-1.0,101.0
mis,14.0,-83.6666666667
moh,43.5,-74.25
mgd,0.666666666667,124.0
mmo,54.0,44.0
mna,-5.0,122.5
mse,41.5,-74.6666666667
mrk,-3.83333333333,144.25
mrw,-28.75,147.0
nbb,-16.0833333333,167.2
npu,-1.33333333333,120.416666667
nne,-21.5,168.0
naj,36.3833,44.0
nsy,36.0,41.0
ngd,-8.83333333333,121.0
ngl,-14.25,134.0
nkb,-13.5,134.833333333
ngr,-36.0,140.0
nia,1.0,97.75
nin,-3.5,142.25
nua,-3.25,129.166666667
nbd,18.25,30.75
nbo,-1.0,31.3333333333
nya,-19.0,146.166666667
nju,-33.75,122.0
obk,-3.0,138.0
occ,44.0,2.0
olm,-0.833333333333,113.0
ono,-6.16666666667,147.583333333
oto,40.5,-96.0
pkn,-32.5,142.5
pad,-2.33333333333,121.333333333
pag,1.25,127.75
pna,-1.75,120.833333333
plh,-3.25,128.75
pin,-23.0,129.0
